Date,Close,EMA_DIFF_8_21,EMA_DIFF_21_50,EMA_DISTANCE_CLOSE_21,EMA_SLOPE_21,EMA_TREND_STRENGTH,RSI,RSI_SLOPE,SMI,SMI_SLOPE,PRICE_RANGE
2022-01-21,1127.45166015625,11.836554761231582,13.579599481331115,0.002767147951904492,0.31198255522713225,0.0104985031106264,61.218971541061485,0.04709348687782722,2.302431565934894,-9.501502696653105,0.02027962666912606
2022-01-24,1081.9730224609375,3.643940997528489,10.85739495238704,-0.035590546381221874,-3.8508011039129997,0.0033678667784527,39.32087841270136,-21.898093128360124,-41.03215710301512,-43.33458866895002,0.06293370174657016
2022-01-25,1079.8572998046875,-2.5002533457600293,8.331635654493539,-0.03419958081727735,-3.6930666995795036,0.0,36.93207619668619,-2.388802216015172,-44.98127610551276,-3.949119002497639,0.03524705134956664
2022-01-27,1063.863525390625,-8.894315615673804,5.269060279654013,-0.04522490658447186,-4.811312855441884,0.0,38.82235673998505,1.8902805432988572,-60.84586523090116,-15.864589125388399,0.01926774513668063
2022-01-28,1062.83984375,-13.370109443863157,2.522381452900845,-0.042028747522704135,-4.466982745003861,0.0,34.98275433434627,-3.8396024056387787,-68.90914509721543,-8.063279866314268,0.020335117592371492
2022-01-31,1085.9317626953125,-13.232436744837287,1.3080289776762584,-0.018064008377611282,-1.9616280458842539,0.0,43.27578642950651,8.293032095160243,-53.102360895025136,15.806784202190293,0.02103416723596544
2022-02-01,1082.337158203125,-13.339789229453118,0.05688405594969481,-0.01949559279288474,-2.110080450093619,0.0,39.68595737632906,-3.5898290531774535,-48.41752624550661,4.684834649518528,0.030899165333118914
2022-02-02,1084.5438232421875,-12.856440239113681,-0.9220490877676184,-0.01583752546627105,-1.7176490419885795,0.0,27.94612562886698,-11.739831747462077,-44.24615509435787,4.17137115114874,0.013383359606004315
2022-02-03,1070.529541015625,-14.095211543591631,-2.4982475312901897,-0.02648712321708187,-2.8355247860406507,0.0,22.210324091998416,-5.735801536868564,-53.93728489169922,-9.691129797341354,0.023058134271826933
2022-02-04,1060.7694091796875,-15.967992170798425,-4.370590785310924,-0.03266529452927069,-3.465034517849517,0.0,20.002851727232297,-2.2074723647661187,-66.80885408309973,-12.87156919140051,0.011731698550261595
2022-02-07,1054.308349609375,-17.81801675642373,-6.324383549016147,-0.0354488365106326,-3.7374004317098297,0.0,16.13131826774014,-3.8715334594921558,-78.62115904702702,-11.81230496392729,0.022355595474178234
2022-02-08,1072.031005859375,-16.438937526433847,-7.092213595125486,-0.01666450110261395,-1.786486187917717,0.0,26.6975391293,10.56622086155986,-68.2543738739385,10.366785173088516,0.021222036132618114
2022-02-09,1084.521240234375,-13.491599465552781,-7.091920366120803,-0.0045052368017651475,-0.4886025003800114,0.0,31.966573339947477,5.269034210647476,-47.95959923623143,20.29477463770707,0.012250812222647154
2022-02-10,1083.406494140625,-11.281446294098032,-7.124006130424732,-0.005035272062537375,-0.5455246452320353,0.0,35.87338979359322,3.9068164536457424,-36.6635407769072,11.296058459324236,0.012851409726972705
2022-02-11,1081.29052734375,-9.768657948334067,-7.236015131061322,-0.006365468818577732,-0.6882921135627385,-0.0090342583249398,35.31621897841964,-0.5571708151735777,-32.71913656616648,3.9444042107407142,0.017000558979207266
2022-02-14,1064.068359375,-10.76315980180425,-8.198323956629793,-0.020594275898297845,-2.191371736762221,-0.0101151018230881,43.05631169077094,7.740092712351299,-36.03440436916759,-3.315267803001106,0.017938527823002086
2022-02-15,1100.1964111328125,-6.5048177542059875,-7.142033717126424,0.011745286607142268,1.2922122172903983,-0.0059124149909819,56.24129085618563,13.184979165414688,17.49706274938666,53.53146711855425,0.03647723446443936
2022-02-16,1097.9212646484375,-3.661214981040075,-6.311575541112006,0.008815813227602711,0.9679068807752174,-0.0033346789965058,61.411821295609286,5.170530439423658,41.942471745949526,24.445408996562865,0.015354596343183194
2022-02-17,1111.82177734375,0.24869703030049095,-4.845153927041565,0.019280053351552726,2.1435983184608176,0.0,65.10872741183877,3.696906116229485,64.56758156899186,22.62510982304233,0.018375256226731595
2022-02-18,1103.13134765625,1.86708956359098,-3.996286836469608,0.010503614859797467,1.158686681555082,0.0,55.82260476010615,-9.286122651732619,61.03758131097226,-3.530000258019598,0.014952153697321342
2022-02-21,1091.9833984375,1.509816415706382,-3.8168805606951537,0.00036540481994731344,0.0399015997090828,0.0,53.10667962459743,-2.7159251355087193,42.917335793683705,-18.120245517288552,0.022042574746960187
2022-02-22,1087.023681640625,0.5754217536584747,-3.9029571219400623,-0.003814168638818622,-0.4146091636166602,0.0,50.784750158572464,-2.3219294660249687,26.814936547318595,-16.10239924636511,0.02040607542027011
2022-02-23,1080.22119140625,-0.9901423160135892,-4.315869452711922,-0.009214090896504117,-0.9953256245946704,-0.0009166107125935,53.21359819053463,2.4288480319621684,8.945162825483276,-17.86977372183532,0.01623803152389948
2022-02-24,1026.393310546875,-9.145411522244558,-7.443683798691836,-0.05649184510276589,-5.798285191393006,-0.0089102407705402,41.17923804333186,-12.034360147202776,-48.04998866522456,-56.99515149070784,0.04277961933621129
