Date,Close,EMA_DIFF_8_21,EMA_DIFF_21_50,EMA_DISTANCE_CLOSE_21,EMA_SLOPE_21,EMA_TREND_STRENGTH,RSI,RSI_SLOPE,SMI,SMI_SLOPE,PRICE_RANGE,FUTURE_CLOSE,FUTURE_RETURN,LABEL
2022-01-21,1127.45166015625,11.836554761231582,13.579599481331115,0.0027671479519044,0.3119825552271322,0.0104985031106264,61.218971541061485,0.0470934868778272,2.302431565934894,-9.501502696653104,0.020279626669126,1085.9317626953125,-0.03682632163154861,-1
2022-01-24,1081.9730224609375,3.643940997528489,10.85739495238704,-0.0355905463812218,-3.850801103913,0.0033678667784527,39.32087841270136,-21.898093128360124,-41.03215710301512,-43.33458866895002,0.0629337017465701,1082.337158203125,0.00033654789410486103,0
2022-01-25,1079.8572998046875,-2.5002533457600293,8.331635654493539,-0.0341995808172773,-3.693066699579504,0.0,36.93207619668619,-2.388802216015172,-44.98127610551276,-3.949119002497639,0.0352470513495666,1084.5438232421875,0.004339946989613948,0
2022-01-27,1063.863525390625,-8.894315615673804,5.269060279654013,-0.0452249065844718,-4.811312855441884,0.0,38.82235673998505,1.8902805432988568,-60.84586523090116,-15.8645891253884,0.0192677451366806,1070.529541015625,0.006265855972975857,0
2022-01-28,1062.83984375,-13.370109443863155,2.522381452900845,-0.0420287475227041,-4.466982745003861,0.0,34.98275433434627,-3.8396024056387783,-68.90914509721543,-8.063279866314268,0.0203351175923714,1060.7694091796875,-0.001948021221153528,0
2022-01-31,1085.9317626953125,-13.232436744837289,1.3080289776762584,-0.0180640083776112,-1.9616280458842537,0.0,43.27578642950651,8.293032095160243,-53.102360895025136,15.806784202190292,0.0210341672359654,1054.308349609375,-0.02912099468151417,-1
2022-02-01,1082.337158203125,-13.339789229453118,0.0568840559496948,-0.0194955927928847,-2.110080450093619,0.0,39.68595737632906,-3.589829053177453,-48.41752624550661,4.684834649518528,0.0308991653331189,1072.031005859375,-0.009522127431030893,0
2022-02-02,1084.5438232421875,-12.85644023911368,-0.9220490877676184,-0.015837525466271,-1.7176490419885797,0.0,27.94612562886698,-11.739831747462077,-44.24615509435787,4.17137115114874,0.0133833596060043,1084.521240234375,-2.0822586721290128e-05,0
2022-02-03,1070.529541015625,-14.095211543591631,-2.4982475312901897,-0.0264871232170818,-2.8355247860406507,0.0,22.210324091998416,-5.735801536868564,-53.93728489169922,-9.691129797341354,0.0230581342718269,1083.406494140625,0.012028582707566828,1
2022-02-04,1060.7694091796875,-15.967992170798423,-4.370590785310924,-0.0326652945292706,-3.465034517849517,0.0,20.002851727232297,-2.2074723647661187,-66.80885408309973,-12.87156919140051,0.0117316985502615,1081.29052734375,0.019345503354901476,1
2022-02-07,1054.308349609375,-17.81801675642373,-6.324383549016147,-0.0354488365106326,-3.7374004317098297,0.0,16.13131826774014,-3.871533459492156,-78.62115904702702,-11.81230496392729,0.0223555954741782,1064.068359375,0.009257263085549042,0
2022-02-08,1072.031005859375,-16.438937526433847,-7.092213595125486,-0.0166645011026139,-1.786486187917717,0.0,26.6975391293,10.56622086155986,-68.2543738739385,10.366785173088516,0.0212220361326181,1100.1964111328125,0.026272939047000038,1
2022-02-09,1084.521240234375,-13.49159946555278,-7.091920366120803,-0.0045052368017651,-0.4886025003800114,0.0,31.96657333994748,5.269034210647476,-47.95959923623143,20.29477463770707,0.0122508122226471,1097.9212646484375,0.012355704911013668,1
2022-02-10,1083.406494140625,-11.281446294098032,-7.124006130424732,-0.0050352720625373,-0.5455246452320353,0.0,35.87338979359322,3.9068164536457424,-36.6635407769072,11.296058459324236,0.0128514097269727,1111.82177734375,0.02622772094943408,1
2022-02-11,1081.29052734375,-9.768657948334068,-7.236015131061322,-0.0063654688185777,-0.6882921135627385,-0.0090342583249398,35.31621897841964,-0.5571708151735777,-32.71913656616648,3.944404210740714,0.0170005589792072,1103.13134765625,0.02019884550931301,1
