Date,Close,High,Low,Open,Volume,EMA_8,EMA_21,EMA_50,EMA_200,EMA_TREND_SCORE,RSI_14,SMI
2022-01-20,1127.2696533203125,1142.0575796806486,1117.0545865844654,1137.5529609143537,16494486,1138.6588834249112,1124.0198520487502,1110.070625937601,1098.5014176920192,0.012986272923290841,61.17187805418366,11.803934262588
2022-01-21,1127.45166015625,1138.5539787102412,1115.689679954786,1115.689679954786,13338594,1136.1683893652087,1124.3318346039773,1110.7522351226462,1098.7894798060913,0.010498503110626459,61.218971541061485,2.302431565934894
2022-01-24,1081.9730224609375,1139.6912967231897,1071.598729229798,1126.1545759538076,21868937,1124.1249744975928,1120.4810335000645,1109.6236385476773,1098.6221518723087,0.003367866778452712,39.32087841270136,-41.032157103015116
2022-01-25,1079.8572998046875,1086.8644436444313,1048.802657948011,1069.0734401117095,24510205,1114.2877134547248,1116.7879668004848,1108.4563311459913,1098.4354369263624,0.0,36.93207619668619,-44.981276105512755
2022-01-27,1063.863525390625,1072.0537511885557,1051.5554999211186,1062.9080331478983,20020431,1103.0823383293693,1111.976653945043,1106.7075936653887,1098.0914378066038,0.0,38.82235673998505,-60.84586523090116
2022-01-28,1062.83984375,1081.0630398643073,1059.4500666597933,1076.103482458547,14667727,1094.1395617561761,1107.509671200039,1104.9872897471382,1097.7406756766873,0.0,34.98275433434627,-68.90914509721543
2022-01-31,1085.9317626953125,1094.9409997464795,1072.0993294430996,1073.91944662709,12143683,1092.3156064093175,1105.5480431541548,1104.2400141764786,1097.6231740549822,0.0,43.27578642950651,-53.102360895025136
2022-02-01,1082.337158203125,1101.402112704543,1067.9587979070466,1095.6690383601324,13200509,1090.098173474608,1103.4379627040612,1103.3810786481117,1097.4710743947646,0.0,39.68595737632906,-48.41752624550661
2022-02-02,1084.5438232421875,1095.2138271372608,1080.6989871423398,1095.2138271372608,10017691,1088.863873422959,1101.7203136620726,1102.6423627498402,1097.3424450300624,0.0,27.94612562886698,-44.24615509435787
2022-02-03,1070.529541015625,1092.6886822523618,1068.0042683536662,1088.3887863228124,9572839,1084.7895773324403,1098.884788876032,1101.3830364073222,1097.075649965242,0.0,22.210324091998416,-53.93728489169922
2022-02-04,1060.7694091796875,1068.5729364671636,1056.1283095273284,1065.1830393454286,11061241,1079.451762187384,1095.4197543581824,1099.7903451434934,1096.7143938380227,0.0,20.002851727232297,-66.80885408309973
2022-02-07,1054.308349609375,1072.372315976767,1048.8026250078512,1065.638135750538,10714467,1073.8643371700487,1091.6823539264726,1098.0067374754888,1096.2924431491806,0.0,16.13131826774014,-78.62115904702702
2022-02-08,1072.031005859375,1073.8283759531455,1051.077695211511,1060.4737500675897,12060849,1073.456930212121,1089.8958677385547,1096.9880813336804,1096.0510358129636,0.0,26.697539129299997,-68.2543738739385
2022-02-09,1084.521240234375,1086.2047554004216,1072.918489334838,1078.9017802245178,11486225,1075.9156657726219,1089.4072652381747,1096.4991856042957,1095.9363114788484,0.0,31.966573339947473,-47.959599236231426
2022-02-10,1083.406494140625,1090.0723137940836,1076.1490130370194,1090.0723137940836,12464491,1077.5802942988448,1088.8617405929429,1095.9857467233676,1095.8116366794632,0.0,35.87338979359322,-36.6635407769072
2022-02-11,1081.29052734375,1084.9761347999724,1066.593591416207,1079.857228868873,15943370,1078.404790531046,1088.1734484793799,1095.4094636104414,1095.6671480293567,-0.009034258324939818,35.31621897841964,-32.719136566166476
2022-02-14,1064.068359375,1071.5305623649283,1052.4427424947037,1064.8418760134352,10719633,1075.2189169408136,1085.9820767426181,1094.1804006992477,1095.3527322218506,-0.010115101823088148,43.05631169077094,-36.03440436916759
2022-02-15,1100.1964111328125,1102.9037798370225,1062.7716573911962,1069.824295697398,11212671,1080.7694712057023,1087.2742889599085,1094.4163226770347,1095.4009280319099,-0.005912414990981981,56.24129085618563,17.49706274938666
2022-02-16,1097.9212646484375,1107.0442358991004,1090.1860980638264,1105.6791781831728,10392840,1084.5809808596434,1088.2421958406837,1094.5537713817957,1095.4260060081938,-0.0033346789965058654,61.411821295609286,41.942471745949526
2022-02-17,1111.82177734375,1117.0089242641511,1096.5789142269996,1101.1745201113265,12853252,1090.6344911894448,1090.3857941591443,1095.2309480861861,1095.5891480115326,0.0,65.10872741183877,64.56758156899186
2022-02-18,1103.13134765625,1117.6916849602303,1101.1974955017408,1112.2315735155196,6775458,1093.4115704042904,1091.5444808406994,1095.540767677169,1095.6641947741668,0.0,55.82260476010615,61.037581310972264
2022-02-21,1091.9833984375,1109.091873871227,1085.021748188729,1097.4890031023697,11107193,1093.0941988561149,1091.5843824404085,1095.4012630011036,1095.627569934996,0.0,53.106679624597426,42.917335793683705
2022-02-22,1087.023681640625,1090.1633625619224,1067.9814753307442,1070.5977356852184,13494914,1091.7451950304503,1091.1697732767918,1095.072730398732,1095.5419591061964,0.0,50.784750158572464,26.814936547318595
2022-02-23,1080.22119140625,1095.009115283983,1077.468449525144,1092.529336789828,7310110,1089.1843053361836,1090.1744476521972,1094.490317104909,1095.3895136564456,-0.0009166107125935988,53.213598190534626,8.945162825483276
2022-02-24,1026.393310546875,1064.6826864402094,1020.7739713257804,1048.8026672886117,24846650,1075.2307509385596,1084.3761624608042,1091.819846259496,1094.702984272271,-0.008910240770540262,41.17923804333186,-48.04998866522456
2022-02-25,1039.224853515625,1050.1450756675365,1035.7212210618118,1037.4729771115954,14570089,1067.2294404001295,1080.2714980112423,1089.757297524442,1094.1509630707124,-0.012549793788122394,46.25216564187927,-55.5335741267275
2022-02-28,1073.62353515625,1077.1726610969984,1020.5919703644312,1020.5919703644312,21297446,1068.650350345934,1079.6671377516975,1089.1246009609836,1093.9467100566383,-0.010261313249024715,50.365417386988376,-21.894253432635743
2022-03-02,1091.369140625,1092.483981972098,1059.8140635885236,1062.2028545911362,21471786,1073.6989704079485,1080.730956194725,1089.2126221242784,1093.921062599607,-0.006443269765488685,51.53429672004351,12.588332406617297
2022-03-03,1082.1551513671875,1098.785820478749,1078.4013026500006,1092.0288927878123,10186748,1075.578121732224,1080.8604284831306,1088.9358585651769,1093.8039888560008,-0.004881284115529088,49.72945125398328,19.763210585899124
2022-03-04,1058.1531982421875,1075.7848524224223,1055.787154408625,1070.643199306108,10805667,1071.705916512216,1078.796134824863,1087.7286954152557,1093.4492546210377,-0.006700559356079409,45.43004465773255,-1.5347219710728937
2022-03-07,1019.022216796875,1052.0333374144284,1011.0367133096933,1036.8358471079189,17983310,1059.9984276865846,1073.362142276864,1085.034323704731,1092.7086870804987,-0.013114252437288369,41.811427937423716,-45.33531194761302
2022-03-08,1017.1793212890624,1021.9570232050448,991.92617525868,1006.2590402981642,21289374,1050.4830707093574,1068.2546130961548,1082.373343217842,1091.9571511024747,-0.017471395667261153,32.760068262500326,-53.35718565481573
2022-03-09,1071.1436767578125,1077.0133522040442,1016.5649623830144,1017.40684017154,20414228,1055.074316497903,1068.5172552472145,1081.9329641409781,1091.750051855264,-0.01255007992018509,45.42199260045813,-11.693115477198802
2022-03-10,1088.50244140625,1094.3038764083778,1073.8283721325647,1092.028820377732,17980493,1062.502788699758,1070.3340903525814,1082.1905907004007,1091.717737323433,-0.007194565078518387,46.05982128198126,21.745647923003332
2022-03-11,1091.6419677734375,1097.0339575128753,1081.1311923906428,1081.1311923906428,12257423,1068.9781618272423,1072.2711701181138,1082.561232938559,1091.7169833975624,-0.003016564393899294,48.021571618893,45.41528512591257
2022-03-14,1100.605712890625,1103.1311056498985,1080.1984500463022,1086.06812572994,8340678,1076.006506507994,1074.8470376428875,1083.2688596033458,1091.8054284671452,0.0,51.49598354447753,69.4892173977433
2022-03-15,1075.398193359375,1104.7464533796308,1065.1148867530296,1104.7464533796308,15925769,1075.8713258083008,1074.8971427080228,1082.960206025151,1091.6421723964213,0.0,48.115376121342905,58.86138788757685
2022-03-16,1093.55322265625,1095.6235563592827,1081.6091471404573,1083.8387095081289,11149828,1079.800636218956,1076.5931499760434,1083.375618442057,1091.661187821892,0.0,52.08454691413917,69.44464149057427
2022-03-17,1129.203369140625,1136.3469946247096,1098.8994972340938,1106.9304944761457,21422098,1090.7790213126602,1081.3758971728234,1085.1727851361186,1092.0347418648646,0.0,67.04384020049004,81.0140133184951
2022-03-21,1122.6966552734375,1130.249846191458,1109.7743416930666,1112.0493977484434,11999466,1097.8718288594996,1085.1323297274246,1086.6443094552292,1092.3398355306217,0.0,64.13435179891297,81.05755563275365
2022-03-22,1151.703857421875,1153.4328665457272,1116.417676927256,1119.3751418583722,22557065,1109.8345018733608,1091.1842867905564,1089.1956642774505,1092.9305223156093,0.0,63.467305831395585,90.15725392037314
2022-03-23,1155.366455078125,1167.0375661035232,1147.9953600851836,1147.9953600851836,15462187,1119.9527136966417,1097.0190293621533,1091.790597250026,1093.551775377923,0.0,61.601895726206706,88.27377511080034
2022-03-24,1173.3165283203125,1175.8191739001288,1142.0800356544312,1142.0800356544312,13168266,1131.8113391685686,1103.9551656310769,1094.9876925861156,1094.345454511678,0.023741397027253884,66.01899471634911,93.05946249835627
2022-03-25,1181.1429443359375,1190.3114093068612,1172.5659000566366,1175.0685459381182,14222488,1142.7739180946505,1110.9722364224278,1098.3663299096381,1095.2091111268448,0.02692449870248536,72.91455722976235,91.82948994023747
2022-03-28,1193.018798828125,1196.5678044575318,1176.8885634283015,1187.5813149251485,9891424,1153.9394471465337,1118.4310148229458,1102.0781914358533,1096.1823418502406,0.02976351450494071,86.08228110855717,94.29462381977787
2022-03-29,1193.291748046875,1200.321638726132,1186.3983390664755,1200.321638726132,8684065,1162.684402902165,1125.236536025121,1105.6551936558933,1097.1486045984657,0.03138198763071717,86.76040949509229,93.3509582929692
2022-03-30,1216.224609375,1223.0725256096823,1190.812170111679,1201.18646593222,15811550,1174.5822265627949,1133.5081790569282,1109.9912491742898,1098.333440466889,0.033771761555601194,84.79002218242513,92.43184938190913
2022-03-31,1198.8428955078125,1214.7456618708436,1196.0446595036312,1212.584340487485,13223718,1179.9734863283543,1139.4476987342812,1113.475627461879,1099.3335345468984,0.03380408537759818,76.4564358539528,81.42540382552316
2022-04-01,1208.443603515625,1212.6752582349072,1193.0415116671982,1199.4116203413212,7922880,1186.3001790366368,1145.720053714403,1117.199861816928,1100.4192068749455,0.0335804874999357,77.16398851482518,81.4507749057742
2022-04-04,1212.0155029296875,1217.157156093152,1201.9825334062043,1208.2616544203254,7929162,1192.0146954573147,1151.7469127339743,1120.9181222527227,1101.5296177809628,0.03322381819869874,76.57654929335484,83.69739003339897
2022-04-05,1194.88427734375,1214.8366019261357,1192.4499926471442,1206.2823045318924,13149870,1192.652380320967,1155.668491334863,1123.8187557857043,1102.4585198661646,0.030951858424583194,79.6454167918512,72.64384793013919
2022-04-06,1191.6993408203125,1198.72923220727,1177.1617516980632,1177.1617516980632,12257215,1192.4405937652662,1158.9440231062674,1126.4807395125517,1103.3464882338676,0.028108239647041504,76.30483274780944,62.17431250067793
2022-04-07,1170.677734375,1185.7613700217532,1168.015859682402,1180.8016922079776,15496499,1187.6044027896514,1160.0107241306976,1128.2139549973538,1104.016450882038,0.023570687174370455,62.06163768865058,37.47315158580781
2022-04-08,1190.1522216796875,1194.4066235414564,1164.8307737717014,1164.8307737717014,15152495,1188.1705847652152,1162.7508602715147,1130.6429066319552,1104.8735232282834,0.021358380911834125,68.2416337438996,37.838337443948454
2022-04-11,1187.6724853515625,1200.572052745213,1175.296097837182,1183.03126481227,9254209,1188.0598960066256,1165.0164625515192,1132.8793606993906,1105.6973934981668,0.019402178411403837,61.35609472591288,27.455853022016193
2022-04-12,1165.30859375,1184.2143186613282,1162.737706900729,1177.116066491659,13217742,1183.004051060709,1165.0430199331993,1134.1510953288264,1106.2905397693294,0.015413111362811156,52.80742948852293,-4.173372123042425
2022-04-13,1161.0313720703125,1179.664132404293,1158.2330158892628,1171.4284128604863,10354235,1178.1212335072873,1164.6783246729367,1135.2052238284925,1106.8352246678467,0.011578419978763967,46.240668909913516,-40.74629715962917
2022-04-18,1157.482177734375,1164.7396576746369,1147.4492090807853,1152.545367902538,9974224,1173.5347766688624,1164.0241294967036,1136.0788298640173,1107.3391744496032,0.008216668347131409,42.56503850795207,-56.92745975317539
2022-04-19,1201.595703125,1213.972089786732,1160.7584292751112,1163.920736701103,26141820,1179.7705381035596,1167.439727099276,1138.6481190115067,1108.277050356821,0.01026202987595136,52.24108630584056,-7.138329951140535
2022-04-20,1236.9273681640625,1244.0028730390352,1205.3722941596611,1209.0124078704498,25072240,1192.4720558947824,1173.7567853778928,1142.5022072135675,1109.5571530215698,0.015130452279237865,59.6362173810606,44.59854015432706
2022-04-21,1265.8890380859375,1269.0285988217172,1243.092861615674,1251.6926535659309,21708633,1208.7869408261502,1182.1324447149877,1147.3409064634645,1111.1126941664888,0.021055949857552145,60.68311926884948,73.98021612049077
2022-04-22,1255.287109375,1274.943602182277,1248.6439171934,1255.3326032722164,15054154,1219.1203116147835,1188.7828687749889,1151.5740908913679,1112.547265462096,0.02416773231655307,62.50626813160182,71.32751407368177
